,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps,Latitude,Longitude,UPN,UNAIR Kampus Dharmahusada A,UNAIR Kampus Dharmawangsa B,UNAIR Kampus Merr C,ITS Kampus Sukolilo,ITS Kampus Manyar,ITS Kampus Cokroaminoto,UNESA Kampus Ketintang (Gayungan),UNESA Kampus Lidah Wetan (Lakarsantri),Kampus Terdekat,Jarak ke Kampus Terdekat
381,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-nita-wonokromo-surabaya?redirection_source=list%20kos%20result,Kost Nita Wonokromo Surabaya,Wonokromo,1600000,Putri,Termasuk listrik,12,Yes,Yes,Yes,Yes,No,3,4,"https://maps.google.com/maps?z=7&q=-7.3071228030276,112.74104475975",-7.307122803,112.7410448,5.973151953,5.118200601,4.377904996,6.419065234,6.557625925,3.40236492,3.268373919,1.759665485,7.569421168,UNESA Kampus Ketintang (Gayungan),1.759665485
382,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-ars-tipe-b-jambangan-surabaya?redirection_source=list%20kos%20result,Kost ARS Tipe B Jambangan Surabaya,Jambangan,1900000,Campur,Tidak termasuk listrik,9,Yes,Yes,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.317921,112.715947",-7.317921,112.715947,8.184037112,7.575579913,6.96129285,9.328913403,9.574202878,6.330661816,5.133576769,1.282592165,5.136304185,UNESA Kampus Ketintang (Gayungan),1.282592165
383,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-hesti-rahayuningtyas-tipe-a-gayungan-surabaya-2?redirection_source=list%20kos%20result,Kost Hesti Rahayuningtyas Tipe A Gayungan Surabaya,Gayungan,1600000,Putri,Termasuk listrik,33,Yes,Yes,Yes,Yes,Yes,5.5,6,"https://maps.google.com/maps?z=7&q=-7.308966,112.722829",-7.308966,112.722829,7.724711956,6.323786054,5.715780926,8.136777141,8.491832513,5.163720251,3.896272687,0.822636381,5.602146113,UNESA Kampus Ketintang (Gayungan),0.822636381
384,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-decos-alazka-tipe-a-jambangan-surabaya-2?redirection_source=list%20kos%20result,Kost Decos Alazka Tipe A Jambangan Surabaya,Jambangan,1600000,Putri,Tidak termasuk listrik,12,No,No,Yes,Yes,No,3,4,"https://maps.google.com/maps?z=7&q=-7.31815,112.722769",-7.31815,112.722769,7.443097771,7.154145613,6.495670011,8.748316762,8.906087959,5.734739972,4.829609285,0.602302786,5.849832024,UNESA Kampus Ketintang (Gayungan),0.602302786
385,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-ketintang-baru-standard-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Ketintang Baru Standard Gayungan Surabaya,Gayungan,1500000,Putri,Tidak termasuk listrik,9,Yes,Yes,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.313984,112.731939",-7.313984,112.731939,6.591992316,6.237203574,5.536143362,7.676590053,7.794456543,4.659548098,4.097542669,0.535204813,6.695631205,UNESA Kampus Ketintang (Gayungan),0.535204813
386,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-kedurus-iv-a-karang-pilang-surabaya?redirection_source=list%20kos%20result,Kost Kedurus IV A Karang Pilang Surabaya,Karang Pilang,700000,Putra,Tidak termasuk listrik,16,Yes,No,No,Yes,No,4,4,"https://maps.google.com/maps?z=7&q=-7.3204497,112.7080131",-7.3204497,112.7080131,8.995577494,8.354900237,7.773970129,10.20566024,10.48767919,7.219443469,5.844019511,2.200953777,4.467225312,UNESA Kampus Ketintang (Gayungan),2.200953777
387,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-ketintang-baru-executive-b-gayungan-surabaya-2?redirection_source=list%20kos%20result,Kost Ketintang Baru Executive B Gayungan Surabaya,Gayungan,1800000,Putri,Tidak termasuk listrik,16,Yes,Yes,Yes,Yes,Yes,4,4,"https://maps.google.com/maps?z=7&q=-7.313984,112.731939",-7.313984,112.731939,6.591992316,6.237203574,5.536143362,7.676590053,7.794456543,4.659548098,4.097542669,0.535204813,6.695631205,UNESA Kampus Ketintang (Gayungan),0.535204813
388,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-ketintang-baru-tipe-asrama-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Ketintang Baru Tipe Asrama Gayungan Surabaya,Gayungan,650000,Putri,Tidak termasuk listrik,11.55,Yes,Yes,Yes,Yes,Yes,3.3,3.5,"https://maps.google.com/maps?z=7&q=-7.313984,112.731939",-7.313984,112.731939,6.591992316,6.237203574,5.536143362,7.676590053,7.794456543,4.659548098,4.097542669,0.535204813,6.695631205,UNESA Kampus Ketintang (Gayungan),0.535204813
389,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-executive-ketintang-baru-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Ketintang Baru Executive Gayungan Surabaya,Gayungan,1700000,Putri,Tidak termasuk listrik,13.69,Yes,Yes,Yes,Yes,Yes,3.7,3.7,"https://maps.google.com/maps?z=7&q=-7.313984,112.731939",-7.313984,112.731939,6.591992316,6.237203574,5.536143362,7.676590053,7.794456543,4.659548098,4.097542669,0.535204813,6.695631205,UNESA Kampus Ketintang (Gayungan),0.535204813
390,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-pak-irwan-2-tipe-a-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Pak Irwan 2 Tipe A Gayungan Surabaya,Gayungan,650000,Putri,Termasuk listrik,9,No,No,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.3121047551606,112.73029346019",-7.312104755,112.7302935,6.831835845,6.143852238,5.462458377,7.680359,7.866416746,4.666993732,3.932783974,0.467597567,6.47472505,UNESA Kampus Ketintang (Gayungan),0.467597567
391,https://mamikos.com/room/kost-kota-surabaya-kost-campur-murah-kost-eksekutif-chris-kencana-1-tipe-e-dukuhpakis-surabaya-1?redirection_source=list%20kos%20result,Kost Eksekutif Chris Kencana 1 Tipe E Dukuhpakis Surabaya,Dukuh Pakis,1000000,Campur,Termasuk listrik,12,No,No,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.2967842687181,112.72023517638",-7.296784269,112.7202352,8.539090644,5.547204928,5.06658486,7.733572899,8.399038718,4.936759906,2.954452041,2.162573003,5.259488709,UNESA Kampus Ketintang (Gayungan),2.162573003
392,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-rumah-dinda-executive-wonokromo-surabaya-1?redirection_source=list%20kos%20result,Kost Rumah Dinda Executive Wonokromo Surabaya,Wonokromo,1200000,Putri,Tidak termasuk listrik,10,No,Yes,Yes,Yes,Yes,2.5,4,"https://maps.google.com/maps?z=7&q=-7.3052523,112.7388744",-7.3052523,112.7388744,6.283180617,5.025096072,4.308912381,6.465366923,6.693396756,3.452283025,3.052439124,1.681753882,7.313955446,UNESA Kampus Ketintang (Gayungan),1.681753882
393,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-moms-house-tipe-a-wonocolo-surabaya-2?redirection_source=list%20kos%20result,Kost Moms House Tipe A Wonocolo Surabaya,Wonocolo,2000000,Putri,Termasuk listrik,9,Yes,Yes,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.3223348587718,112.74459600449",-7.322334859,112.744596,4.992855708,6.612531286,5.824427727,7.417414666,7.120503469,4.518520589,4.990539572,2.087241063,8.283216316,UNESA Kampus Ketintang (Gayungan),2.087241063
