,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Latitude,Longitude,Kampus Terdekat,Jarak ke Kampus Terdekat,Kelompok Kampus
43,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-vip-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya VIP Rungkut Surabaya,Rungkut,1900000,Campur,Tidak termasuk listrik,11.2,No,Yes,Yes,Yes,Yes,3.2,3.5,-7.3263039999999995,112.792629,UPN,0.8451555820000001,UPN
44,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-eksklusif-penjaringan-sari-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Eksklusif Penjaringan Sari Rungkut Surabaya,Rungkut,2200000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,-7.3217933,112.7897665,UPN,1.228627176,UPN
45,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-nashabil-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Nashabil Rungkut Surabaya,Rungkut,1300000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,No,3.0,4.0,-7.325995465,112.77932520000002,UPN,1.273460136,UPN
46,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-yellow-tipe-d-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe D Gunung Anyar Surabaya,Gunung Anyar,2500000,Putri,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,5.0,4.0,-7.334014907,112.78446070000001,UPN,0.47916788899999996,UPN
47,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-tipe-room-avanthi-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya Tipe Room Avanthi Rungkut Surabaya,Rungkut,2800000,Campur,Tidak termasuk listrik,17.39,No,Yes,Yes,Yes,Yes,3.7,4.7,-7.3263039999999995,112.792629,UPN,0.8451555820000001,UPN
48,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya Executive Rungkut Surabaya,Rungkut,2700000,Campur,Tidak termasuk listrik,16.65,No,Yes,Yes,Yes,Yes,3.7,4.5,-7.3263039999999995,112.792629,UPN,0.8451555820000001,UPN
49,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-tipe-superior-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Ivorya Tipe Superior B Rungkut Surabaya,Rungkut,1350000,Campur,Termasuk listrik,9.9,No,No,Yes,Yes,Yes,2.2,4.5,-7.3263039999999995,112.792629,UPN,0.8451555820000001,UPN
50,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-barokah-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Barokah Gunung Anyar Surabaya,Gunung Anyar,500000,Putra,Termasuk listrik,9.0,Yes,No,Yes,Yes,No,3.0,3.0,-7.338972,112.795854,UPN,1.053121038,UPN
51,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-yaman-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yaman Tipe A Gunung Anyar Surabaya,Gunung Anyar,600000,Putra,Termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.337656796,112.79595959999999,UPN,0.9736148170000001,UPN
52,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-jalan-medokan-sawah-baru-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Jalan Medokan Sawah Baru Rungkut Surabaya,Rungkut,1250000,Campur,Tidak termasuk listrik,20.0,Yes,Yes,No,Yes,Yes,4.0,5.0,-7.329996,112.801391,UPN,1.441692323,UPN
53,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-medokan-asri-barat-lll-19-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Medokan Asri Barat lll 19 Rungkut Surabaya,Rungkut,1400000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,No,3.0,3.0,-7.330643007999999,112.7897044,UPN,0.266232548,UPN
54,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-medayu-selatan-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Medayu Selatan Rungkut Surabaya,Rungkut,800000,Putri,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.332018,112.795969,UPN,0.814455475,UPN
55,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-daninzia-house-tipe-single-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Daninzia House Tipe Single Gunung Anyar Surabaya,Gunung Anyar,1400000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.335689541,112.8001606,UPN,1.312627929,UPN
56,https://mamikos.com/room/kost-kota-surabaya-kost-campur-murah-kost-abdul-karim-40-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Abdul Karim 40 Tipe A Gunung Anyar Surabaya,Gunung Anyar,585000,Putra,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.338644,112.771274,UPN,2.021392089,UPN
57,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-bu-hartini-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Bu Hartini Tipe Executive Rungkut Surabaya,Rungkut,2000000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,No,4.0,4.0,-7.3281,112.78511100000001,UPN,0.6492098620000001,UPN
58,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-asri-tipe-a-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Asri Tipe A Rungkut Surabaya,Rungkut,900000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0,-7.315476462,112.790966,UPN,1.94180327,UPN
59,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-family-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Family Rungkut Surabaya,Rungkut,1100000,Putri,Termasuk listrik,9.0,Yes,No,No,Yes,No,3.0,3.0,-7.328038581,112.79281680000001,UPN,0.701596702,UPN
60,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-bu-nita-upn-tipe-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Bu Nita Upn Tipe Executive Rungkut Surabaya,Rungkut,900000,Putra,Termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.326211,112.784007,UPN,0.890841769,UPN
